what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302485339778
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302485341431
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1302485342474
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deleteNextWord",1302485343412
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302485343741
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485344183
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485352484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485354240
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302485356616
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485359334
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485363151
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485365244
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485366609
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302485369899
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302485372949
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485378209
error,log,,,"No command output when running: 'am start -n net.cs76.ncaa/net.cs76.ncaa.Question -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1302485393287
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1302485393416
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485395819
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302485395909
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1302485400877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485401438
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485402191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485402848
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302485405195
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302485408145
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485409426
error,log,,,"No command output when running: 'am start -n net.cs76.ncaa/net.cs76.ncaa.Question -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1302485432080
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1302485432314
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485432325
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302485441987
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302485442930
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302485446754
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302485447086
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485448220
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302485450786
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302485453537
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485454264
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485474244
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302485478289
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485479057
error,log,,,"No command output when running: 'am start -n net.cs76.ncaa/net.cs76.ncaa.Question -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1302485484871
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1302485484942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485486804
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485489851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485621423
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485624261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485631486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485636193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485666596
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302485666648
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485666891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485671119
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485672976
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485673355
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302485721682
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302485734959
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485742589
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485743385
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485798545
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485804134
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485805389
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485806336
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485818835
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485822954
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485826242
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1302485826438
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302485834599
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485835259
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485835898
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485852427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485966747
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1302485967786
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485967828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485972534
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485973035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485974445
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1302485975676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485975710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485977755
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485978591
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485979529
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302485979942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486050937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302486054547
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302486054736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486056337
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486057027
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1302486057341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486057381
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486057916
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486058969
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486074758
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486076029
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302486078958
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486080249
error,log,,,"No command output when running: 'am start -n net.cs76.ncaa/net.cs76.ncaa.Question -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1302486093628
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1302486093692
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486095944
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486097386
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486130703
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486130723
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1302486160470
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1302486160522
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486172759
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486190785
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486199447
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486366925
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486367552
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486636029
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486642587
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302486644572
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486652642
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486660689
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486662736
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1302486663068
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1302486663144
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1302486663351
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1302486663435
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1302486663887
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1302486663946
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1302486664757
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1302486664833
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1302486665018
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1302486665195
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1302486665197
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1302486665210
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1302486665256
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1302486665316
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486665341
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1302486665371
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1302486665436
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1302486665449
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1302486665568
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1302486665592
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1302486665695
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1302486674243
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302486674409
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1302486674410
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486676324
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302486681923
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302486682103
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302486685095
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302486685095
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486686825
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1302486697736
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1302486697840
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486708145
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486710125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486712658
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302486714679
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486742979
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302486745485
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486746171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486747017
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486747649
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1302486752500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486756555
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486759612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486784735
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302486789363
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486791191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486794158
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1302486796025
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302486802189
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302486803985
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302486807954
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486811927
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486812718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486815022
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486816642
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486818503
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486843788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486844756
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486867849
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302486872766
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486879350
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486880073
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486881515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486882380
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486886176
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302486895382
