what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308104195994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104199654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104227192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104229074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104233174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104235422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104244937
started,bundle,org.python.pydev.jython,2.1.0.2011052613,"org.python.pydev.jython",1308104257445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104257796
started,bundle,com.python.pydev,2.1.0.2011052613,"com.python.pydev",1308104279787
started,bundle,com.python.pydev.refactoring,2.1.0.2011052613,"com.python.pydev.refactoring",1308104279794
started,bundle,org.python.pydev.debug,2.1.0.2011052613,"org.python.pydev.debug",1308104279803
started,bundle,org.python.pydev.django,2.1.0.2011052613,"org.python.pydev.django",1308104279807
started,bundle,org.python.pydev.refactoring,2.1.0.2011052613,"org.python.pydev.refactoring",1308104280268
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1308104280825
started,bundle,com.python.pydev.codecompletion,2.1.0.2011052613,"com.python.pydev.codecompletion",1308104281377
opened,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308104282181
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308104282251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104282394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104298297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104306903
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308104313744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104327541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104333277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308104333583
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1308104350363
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308104350867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104354103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104363917
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1308104366180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104377031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104421884
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1308104429607
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1308104429669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1308104429670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104438444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104455464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104459869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104486063
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308104486081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104487759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104523206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104539296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104607277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104608418
started,bundle,com.python.pydev.debug,2.1.0.2011052613,"com.python.pydev.debug",1308104610752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104694730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104701549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104710147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104727511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104742995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104744107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104767199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104775290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104971169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308104972731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308105051875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308105063018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308105111695
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308105112006
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1308105112820
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1308105112820
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1308105112820
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1308105112820
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1308105112821
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308105112821
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308105112821
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1308105112821
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1308105112822
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1308105112822
stopped,bundle,com.python.pydev.codecompletion,2.1.0.2011052613,"com.python.pydev.codecompletion",1308105112822
stopped,bundle,com.python.pydev.refactoring,2.1.0.2011052613,"com.python.pydev.refactoring",1308105112822
stopped,bundle,com.python.pydev.analysis,2.1.0.2011052613,"com.python.pydev.analysis",1308105112822
stopped,bundle,com.python.pydev.debug,2.1.0.2011052613,"com.python.pydev.debug",1308105112822
stopped,bundle,com.python.pydev.fastparser,2.1.0.2011052613,"com.python.pydev.fastparser",1308105112822
stopped,bundle,com.python.pydev,2.1.0.2011052613,"com.python.pydev",1308105112822
stopped,bundle,org.python.pydev.django,2.1.0.2011052613,"org.python.pydev.django",1308105112822
stopped,bundle,org.python.pydev.customizations,2.1.0.2011052613,"org.python.pydev.customizations",1308105112822
stopped,bundle,org.python.pydev.red_core,2.1.0.2011052613,"org.python.pydev.red_core",1308105112822
stopped,bundle,org.python.pydev.debug,2.1.0.2011052613,"org.python.pydev.debug",1308105113029
stopped,bundle,org.python.pydev.refactoring,2.1.0.2011052613,"org.python.pydev.refactoring",1308105113029
stopped,bundle,org.python.pydev,2.1.0.2011052613,"org.python.pydev",1308105113053
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1308105113194
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1308105113194
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1308105113194
